om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,date_tim,hour,year,length,width,cas,area_pth,ma,ed,id,total_pp,total_ml,ml_und18,ml18t44,ml45t64,ml_ovr65,totl_fml,fml_un18,fml1844,fml4564,fml_ov65,white,black,ttl_hsn_u,mobl_hms,mdn_incm,pop_d,pop_under18,pop18to44,pop45to64,PopOver65
42,1995,2,"16",1995/02/16,05:28:00,3,AL,1,3,2,3,0,5,0,34.33,-86.22,34.4,-86,12,700,0,1995/02/16 11:28:00+00,5,1995,19312.08,502.717656427439,3,9708523.59833921,Feb,640069314260.386,11,299.923090160516,148.251125604008,37.7042120744862,56.8933028628699,34.2023328779386,19.2887579548136,151.671964556508,36.0492142002652,57.5487672492741,34.8655153678489,23.3709875730199,291.936961487402,2.60861479174481,135.35824071831,32.2791555894505,39430.450435913,30.8927600703183,73.7534262747514,114.442070112144,69.0678482457875,42.6597455278335
48,1995,3,"07",1995/03/07,03:45:00,3,LA,22,13,2,1,0,0,0,32.17,-91.35,32.1701,-91.3499,1,40,0,1995/03/07 09:45:00+00,3,1995,1609.34,28.7267232244251,1,46231.0647539962,Mar,3047949115.52565,12,0.001691390028753,0.000812668895266,0.000246343942069,0.000250660504392,0.000200340655972,0.000122360090531,0.000878721133487,0.000248505680981,0.000293984092227,0.000199254508896,0.000129940553686,0.001003241507035,0.00067298686746,0.000787241983959,0.000151066917515,31404.3015,0.0365855737425298,0.00049484962305,0.000544644596619,0.000399595164868,0.000252300644217
52,1995,3,"07",1995/03/07,08:30:00,3,LA,22,16,1,5,0,5,0,31.55,-91.43,31.5501,-91.4299,1,30,0,1995/03/07 14:30:00+00,8,1995,1609.34,21.5450424183188,5,34673.2985654972,Mar,1704532507.86842,13,0.006193789323187,0.002950794590202,0.001021987206317,0.001084585928521,0.000581751603918,0.000334096906631,0.003242994732985,0.000924141664672,0.001257332235075,0.000627000877666,0.000362892900387,0.002242361627139,0.003922630854979,0.002553307012489,0.000462471467,26445.609,0.178632826394843,0.001946128870989,0.002341918163596,0.001208752481584,0.000696989807018
58,1995,3,"07",1995/03/07,11:08:00,3,MS,28,5,1,1,0,5,0,31.97,-89.45,32,-89.42,3,500,0,1995/03/07 17:08:00+00,11,1995,4828.02,359.084040305313,1,1733664.92827486,Mar,85226625393.4212,14,21.8797868989683,10.7993665600046,3.27376917673931,4.06746379653357,2.12480459703143,1.27712161765466,11.0804203389637,3.06463578126272,4.2675753807846,2.18326124003953,1.62115530892248,15.707745676055,6.05511654928988,8.87920364908925,2.07085170171155,40435.0435,12.6205396106966,6.33840495800203,8.33503917731817,4.30806583707096,2.89827692657714
102,1995,4,"11",1995/04/11,04:15:00,3,MS,28,10,1,0,1,0,0,31.12,-90.05,31.12,-89.95,5,30,0,1995/04/11 09:15:00+00,4,1995,8046.7,21.5450424183188,1,173366.492827486,Apr,8522662539.34212,15,2.49245672832011,1.2061643105064,0.381860896889145,0.437989736534707,0.242125144632689,0.145349678843246,1.28629241781371,0.38089114480622,0.461602142248526,0.259738144500767,0.182899839864808,1.4132532054346,1.06294463326013,1.01843159246528,0.269611812691699,30403.8255,14.3768076960541,0.762752041695365,0.899591878783233,0.501863289133456,0.328249518708054
108,1995,4,"12",1995/04/12,13:23:00,3,NC,37,6,0,1,0,4,0,35.05,-80.7,35.0501,-80.6999,0.5,23,0,1995/04/12 18:23:00+00,13,1995,804.67,16.5178658540444,1,13291.4311167739,Apr,511194393.237141,16,0.089088611947889,0.043862195654808,0.012607773769733,0.018907043260428,0.00937480804296,0.002606637032267,0.045226416293081,0.012389839514992,0.019919633374818,0.009821413564575,0.003461463388117,0.08183334796667,0.004923580214354,0.033143455872122,0.002426423155775,74571.0955,6.70271027741011,0.024997613284725,0.038826676635246,0.019196221607535,0.006068100420384
166,1995,4,"19",1995/04/19,20:02:00,3,TX,48,50,1,8,0,6,0,32.78,-96.92,32.82,-96.73,6,100,0,1995/04/20 01:02:00+00,20,1995,9656.04,71.8168080610627,8,693465.971309944,Apr,34090650157.3685,17,2201.56985045644,1185.61530716987,264.356665399312,653.770964483305,155.32655094602,61.4309079376723,1015.95454328657,276.134723359007,570.351419138835,146.261451923476,73.9371672688102,1215.77280912113,305.55731622485,991.558330661935,0.947086694190493,45513.5224296979,3174.73378873619,540.49138875832,1224.12238362214,301.588002869496,135.368075206483
175,1995,4,"20",1995/04/20,01:32:00,3,LA,22,24,2,3,0,5,0,32.85,-91.9,32.8501,-91.8999,2,100,0,1995/04/20 06:32:00+00,1,1995,3218.68,71.8168080610627,3,231155.323769981,Apr,15239745577.6282,18,0.107947953276955,0.052834677296862,0.01567877019298,0.01942892750043,0.01189572340397,0.006078198475043,0.055113275980092,0.014143006780634,0.020528281808748,0.012383366505479,0.00781167860967,0.095575332593873,0.012087524480304,0.0412781058254,0.008008581229828,51075.419,0.466993152121265,0.029821776973614,0.039957209309178,0.024279089909449,0.013889877084713
190,1995,4,"20",1995/04/20,19:03:00,3,AL,1,9,1,6,0,6,0,33.68,-88.2,33.73,-88.15,4,80,0,1995/04/21 00:03:00+00,19,1995,6437.36,57.4534464488501,6,369848.51803197,Apr,18181680083.9299,19,5.20373223748969,2.49128794513142,0.643757565860363,0.954682369148142,0.572900887855624,0.369328382621415,2.71244429235827,0.60466799505614,0.979158081684938,0.599526967590699,0.479709987672372,4.6381253423973,0.496026840685846,2.31479203145476,0.439773845058782,39191.3405,14.0699015509909,1.2484255609165,1.93384045083308,1.17242785544632,0.849038370293787
192,1995,4,"20",1995/04/20,19:56:00,3,AL,1,10,1,17,0,5,0,34.17,-87.68,34.25,-87.6,6,120,0,1995/04/21 00:56:00+00,19,1995,9656.04,86.1801696732752,17,832159.165571932,Apr,40908780188.8422,20,32.7796700932683,15.9081815777463,3.95947654863904,6.11683501287304,3.83813308830873,2.09416877833244,16.871488515522,3.92992367512365,6.16889593060327,3.95128641506219,2.72095064432594,32.2911927580693,0.060388837951771,14.5387096818492,3.14911289434447,36951.7819198349,39.3911062323507,7.88940022376269,12.2857309434763,7.78941950337092,4.81511942265838
194,1995,4,"21",1995/04/21,00:18:00,3,TN,47,7,1,1,0,4,0,35.03,-85.55,35.07,-85.45,5,23,0,1995/04/21 05:18:00+00,0,1995,8046.7,16.5178658540444,1,132914.311167739,Apr,6534041280.16229,21,3.52160715715447,1.72871736362264,0.439040118789342,0.681545801342494,0.41863920582837,0.181362257430349,1.79288979353184,0.447902071071061,0.698661488791348,0.434497430897658,0.219958783003849,3.3787365945037,0.1126918658179,1.45942411533967,0.345046166379023,43141.6324340855,26.4953196252145,0.886942189860403,1.38020729013384,0.853136636726028,0.401321040434198
217,1995,4,"24",1995/04/24,08:20:00,3,FL,12,14,2,5,0,6,0,29.65,-81.73,29.75,-81.52,10,350,0,1995/04/24 13:20:00+00,8,1995,16093.4,251.358828213719,5,4045218.16597467,Apr,266695547608.494,22,440.092499469716,214.892635558316,56.4390738047841,82.5695796059688,44.9996342037313,30.179031366557,225.1998639114,56.4268240940436,82.06612950109,48.8212565972435,38.5909702962974,314.847154348957,118.601386077222,181.35278063164,40.284277675093,43698.6615146068,108.793266867889,112.865897898828,164.635709107059,93.8208908009747,68.7700016628544
